directionToPass,pass0P3,pass1P3,pass2P3,hC0P3,hC1P3,hC2P3,hC3P3,hC4P3,hC5P3,hC6P3,hC7P3,hC8P3,hC9P3,hC10P3,hC11P3,hC12P3
1,39,38,52,6,9,10,19,21,27,29,31,38,39,47,48,52
3,24,6,7,6,7,18,21,24,29,30,31,32,40,43,49,51
2,26,23,9,1,2,4,9,23,26,29,30,35,36,37,41,43
0,0,0,0,11,12,14,21,22,23,28,29,34,40,42,46,48
1,39,24,51,1,10,17,22,24,28,31,33,34,36,39,47,51
3,26,25,52,3,6,18,20,25,26,29,32,34,35,40,45,52
2,39,4,8,4,8,15,18,31,33,39,41,42,44,45,48,50
0,0,0,0,7,10,16,17,20,24,25,27,28,30,40,44,49
1,26,23,50,2,4,5,6,10,14,18,20,23,26,29,47,50
3,26,24,13,5,6,7,9,12,13,24,26,32,36,43,45,50
2,24,52,11,1,5,8,11,19,21,24,30,32,33,41,49,52
0,0,0,0,1,7,8,11,17,25,26,30,31,32,36,39,46
1,2,8,12,2,8,12,14,15,29,31,33,36,41,43,49,51
1,41,43,49,5,9,10,12,15,17,21,30,33,34,41,43,49
3,38,23,13,1,2,6,12,13,18,20,21,23,36,38,42,51
2,42,48,52,10,12,14,18,21,30,31,32,35,37,42,48,52
0,0,0,0,5,14,15,17,22,27,28,29,35,38,40,41,43
1,39,24,13,6,8,13,20,22,24,32,33,38,39,44,47,51
3,38,25,24,5,10,14,19,23,24,25,30,31,34,36,38,52
2,51,11,49,1,2,4,5,6,7,11,16,30,42,48,49,51
0,0,0,0,8,20,21,23,30,32,34,36,37,43,49,50,52
1,37,38,25,4,14,20,21,25,31,34,36,37,38,41,46,47
3,3,9,10,3,9,10,14,16,17,28,29,33,42,45,49,52
2,37,38,9,9,16,17,18,20,21,25,37,38,40,46,48,51
0,0,0,0,8,9,14,20,22,23,29,35,36,40,43,45,48
1,37,39,24,3,5,10,16,21,22,24,31,33,37,39,41,44
3,43,48,50,1,2,3,6,14,17,22,30,34,36,43,48,50
2,39,46,52,2,6,14,15,16,19,20,22,30,31,39,46,52
0,0,0,0,1,4,6,10,12,25,28,32,33,37,41,50,52
1,37,39,26,1,6,17,18,20,26,27,35,37,38,39,40,50
3,37,23,12,3,11,12,16,20,23,29,30,36,37,43,47,48
2,52,12,48,1,2,6,12,14,16,21,30,33,42,47,48,52
0,0,0,0,1,11,14,16,18,21,27,30,32,38,42,45,48
1,39,24,2,2,18,20,22,24,30,31,36,39,40,42,45,52
3,26,25,24,4,24,25,26,27,28,32,34,36,40,45,50,52
2,3,4,8,3,4,8,17,19,28,32,34,40,41,45,48,50
0,0,0,0,3,9,12,17,24,28,30,31,34,40,47,48,52
1,37,9,8,3,6,7,8,9,15,30,33,36,37,40,43,46
3,37,23,51,1,5,6,11,14,21,23,34,37,40,44,48,51
2,37,38,10,3,5,7,8,10,14,17,31,37,38,46,47,48
0,0,0,0,1,3,17,24,28,29,31,36,37,40,41,42,45
1,37,25,24,10,12,15,19,22,24,25,29,37,41,45,46,48
3,39,38,48,3,6,19,20,21,28,29,30,38,39,43,46,48
2,37,39,3,3,15,16,17,19,23,28,33,37,39,42,45,47
0,0,0,0,2,3,8,13,15,20,23,27,33,43,44,45,46
1,39,38,4,4,15,17,19,26,27,28,30,35,38,39,43,50
3,38,26,23,8,12,14,18,23,26,31,33,38,40,41,44,48
1,39,25,13,7,9,10,13,17,20,22,25,27,28,39,50,51
3,37,26,25,1,8,12,15,17,18,22,25,26,32,37,51,52
2,37,38,23,13,14,21,23,28,32,35,37,38,40,48,49,51
0,0,0,0,9,10,11,13,19,20,22,24,31,32,34,39,42
1,37,51,9,1,4,5,9,16,17,29,33,37,41,42,48,51
3,26,12,51,1,4,5,11,12,20,26,28,36,40,45,48,51
2,51,10,49,2,3,7,10,29,34,41,42,46,47,48,49,51
0,0,0,0,5,7,9,17,22,24,27,29,37,38,45,46,52
1,37,52,50,3,5,7,16,18,21,28,30,34,37,42,50,52
3,42,43,45,4,5,8,9,14,19,21,22,27,34,42,43,45
2,37,26,9,2,3,6,7,8,9,26,27,30,37,44,46,48
