n0TricksPlayed,hCP0P3,hCP1P3,hCP2P3,hCP3P3,hCP4P3,hCP5P3,hCP6P3,hCP7P3,hCP8P3,hCP9P3,hCP10P3,hCP11P3,hCP12P3,startPNo,trickCard0,trickCard1,trickCard2,trickCard3
1,41,47,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,40,44,48,-100
2,2,6,9,10,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,4,3,12,10
3,2,6,9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,13,9,-100,-100
4,27,29,31,35,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,32,27,-100,-100
5,29,31,35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,39,37,33,29
6,41,47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,45,43,49,41
7,47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,42,47,-100,-100
8,31,35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,30,34,1,31
9,2,6,19,21,35,-100,-100,-100,-100,-100,-100,-100,-100,1,50,15,19,-100
10,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,18,23,21,-100
11,2,6,35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,26,22,16,2
12,6,35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,24,36,17,35
13,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,11,7,20,6
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,12,7,4,-100
3,43,47,49,51,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,50,3,45,49
4,29,30,31,32,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,36,28,38,32
5,18,21,26,29,30,31,43,47,51,-100,-100,-100,-100,2,6,18,-100,-100
6,21,26,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,15,22,21,-100
7,26,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,25,26,-100,-100
8,29,30,31,43,47,51,-100,-100,-100,-100,-100,-100,-100,3,29,-100,-100,-100
9,30,31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,34,33,39,30
10,43,47,51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,48,43,-100,-100
11,31,47,51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,24,47,-100,-100
12,31,51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,20,51,-100,-100
13,31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,23,31,-100,-100
1,41,43,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,40,47,43,-100
2,29,30,31,35,36,37,-100,-100,-100,-100,-100,-100,-100,2,27,29,-100,-100
3,30,31,35,36,37,-100,-100,-100,-100,-100,-100,-100,-100,1,33,28,31,-100
4,41,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,46,42,41,-100
5,1,2,4,6,11,30,35,36,37,-100,-100,-100,-100,0,44,50,49,37
6,1,2,4,6,11,-100,-100,-100,-100,-100,-100,-100,-100,1,7,8,1,-100
7,2,4,6,11,30,35,36,-100,-100,-100,-100,-100,-100,0,52,51,16,30
8,2,4,6,11,35,36,-100,-100,-100,-100,-100,-100,-100,0,24,19,21,35
9,2,4,6,11,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,12,9,5,2
10,4,6,11,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,18,23,17,36
11,4,6,11,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,26,15,4,-100
12,6,11,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,25,10,6,-100
13,11,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,3,38,11,-100
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,11,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,5,12,-100,-100
3,11,28,29,34,42,46,48,-100,-100,-100,-100,-100,-100,3,28,-100,-100,-100
4,11,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,7,6,11,-100
5,29,34,42,46,48,-100,-100,-100,-100,-100,-100,-100,-100,3,29,-100,-100,-100
6,42,46,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,44,42,-100,-100
7,46,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,50,48,-100,-100
8,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,30,34,-100,-100
9,14,21,22,23,46,-100,-100,-100,-100,-100,-100,-100,-100,3,46,-100,-100,-100
